Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mobileSanity,Safari 12,,2019-01-02 14:05:11,2019-01-02 14:06:08,57.139s,ERROR
,,,,,,
Test Cases/mobileWeb/stm/Slaico,Safari 12,,2019-01-02 14:05:11,2019-01-02 14:06:07,55.727s,ERROR
"openBrowser("""")",Safari 12,,2019-01-02 14:05:12,2019-01-02 14:05:37,24.962s,PASSED
"navigateToUrl(""https://praetemptatus.agilehealthinsurance.com/"")",Safari 12,,2019-01-02 14:05:37,2019-01-02 14:05:46,8.190s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_Find Health Insurance for 2018/a_Quote  Save Today""))",Safari 12,,2019-01-02 14:05:46,2019-01-02 14:05:47,1.448s,PASSED
"setText(findTestObject(""Object Repository/mobileSanity/STM/Page_2018 Health Insurance Get a Sh/input_Location_zip-input""), ""60602"")",Safari 12,,2019-01-02 14:05:47,2019-01-02 14:05:48,1.336s,PASSED
"setText(findTestObject(""Object Repository/mobileSanity/STM/Page_2018 Health Insurance Get a Sh/input_Date of Birth_dob-0""), ""03/03/1987"")",Safari 12,,2019-01-02 14:05:48,2019-01-02 14:05:50,1.672s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_2018 Health Insurance Get a Sh/label_Male""))",Safari 12,,2019-01-02 14:05:50,2019-01-02 14:05:51,0.648s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_2018 Health Insurance Get a Sh/label_Compare Plans""))",Safari 12,,2019-01-02 14:05:51,2019-01-02 14:05:51,0.579s,PASSED
Thread.sleep(2000),Safari 12,,2019-01-02 14:05:51,2019-01-02 14:05:53,2.008s,PASSED
Thread.sleep(2000),Safari 12,,2019-01-02 14:05:53,2019-01-02 14:05:55,2.006s,PASSED
"scrollToElement(findTestObject(""mobileSanity/STM/Page_Short Term Health Insurance Qu/a_Standard Life Select STM Pla""), 1000)",Safari 12,,2019-01-02 14:05:55,2019-01-02 14:05:56,0.456s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_Short Term Health Insurance Qu/a_Standard Life Select STM Pla""))",Safari 12,,2019-01-02 14:05:56,2019-01-02 14:05:56,0.502s,PASSED
Thread.sleep(2000),Safari 12,,2019-01-02 14:05:56,2019-01-02 14:05:58,2.006s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_Standard Life Select STM Plan/a_Apply for This Plan""))",Safari 12,,2019-01-02 14:05:58,2019-01-02 14:05:59,1.008s,PASSED
Thread.sleep(1000),Safari 12,,2019-01-02 14:05:59,2019-01-02 14:06:00,1.002s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_Standard Life Select STM Plan/a_Start Secure Application""))",Safari 12,,2019-01-02 14:06:00,2019-01-02 14:06:01,0.769s,PASSED
Thread.sleep(2000),Safari 12,,2019-01-02 14:06:01,2019-01-02 14:06:03,2.004s,PASSED
"click(findTestObject(""Object Repository/mobileSanity/STM/Page_App Page 1 - Standard Life Sel/a_Autofill App Info""))",Safari 12,,2019-01-02 14:06:03,2019-01-02 14:06:04,1.145s,PASSED
"scrollToElement(findTestObject(""Object Repository/mobileSanity/STM/Page_App Page 1 - Standard Life Sel/a_Continue""))",Safari 12,,2019-01-02 14:06:04,2019-01-02 14:06:04,0.174s,ERROR
